Number beers, Brewery name
855,Rock Bottom Restaurant & Brewery
394,John Harvard's Brewery & Ale House
368,Goose Island Beer Co.
316,Iron Hill Brewery & Restaurant
312,Minneapolis Town Hall Brewery
283,Port Brewing Company / Pizza Port
201,Cigar City Brewing
185,Mikkeller ApS
177,Kuhnhenn Brewing Company
158,Flossmoor Station Restaurant & Brewery
