Brewery name, Number of mentions
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,375
Selin's Grove Brewing Company,373
Wychwood Brewery Company Ltd,370
"Plzensky Prazdroj, a. s.",363
Upland Brewing Company,353
Pisgah Brewing Co.,353
Cisco Brewers Inc.,353
Drake's Brewing Co.,349
Brouwerij De Smedt / Brouwerij Affligem,349
Lancaster Brewing Company,340
Live Oak Brewing Company,338
Kona Brewing Co.,338
Meantime Brewing Company Limited,337
Brouwerij der St. Benedictusabdij de Achelse,333
Marin Brewing Company,333
Brauerei Schloss Eggenberg,325
Brouwerij Boon,323
FiftyFifty Brewing Co.,323
Brouwerij Van Honsebrouck N.V.,322
Southern Star Brewing Company,319
Hanssens Artisanaal bvba,317
The Tap Brewing Company,314
Brasserie Caracole,313
Clown Shoes,311
Trader Joe's Brewing Company,309
Uinta Brewing Company,307
Central City Brewing,306
Klosterbrauerei Andechs,303
Bluegrass Brewing Co. - East St. Matthew's,302
Genesee Brewing Co. / Dundee Brewing Co.,301
Erdinger Weissbräu,300
Murphy Brewery Ireland Limited,299
Stillwater Artisanal Ales,293
Brouwerij De Molen,293
Wachusett Brewing Company,292
Brouwerij Girardin,291
D.L. Geary Brewing Company,280
Lawson's Finest Liquids,280
Ninkasi Brewing Company,278
O'Fallon Brewery,277
Moonlight Brewing Company,274
Brouwerij Oud Beersel,272
Mayflower Brewing Company,269
O'Hanlon's Brewing Co. Ltd.,266
Fish Brewing Company / Fishbowl Brewpub,265
Abbaye de Leffe S.A.,263
High Point Brewing Company,260
Browar Okocim S.A. (Carlsberg),260
Columbus Brewing Company,259
Caldera Brewing Company,259
Fort Collins Brewing,259
Oy Sinebrychoff Ab,258
Tommyknocker Brewery,257
Köstritzer Schwarzbierbrauerei GmbH & Co.,256
Michigan Brewing Company,256
John Harvard's Brewery & Ale House,253
Ceylon / Lion Brewery Limited,253
Whitbread PLC,253
Lake Louie Brewery Company,253
Rock Art Brewery,253
Pike Pub & Brewery,253
Brasserie de l'Abbaye du Val-Dieu,249
Speakeasy Ales & Lagers,249
Ridgeway Brewing,247
Warsteiner Brauerei,244
Maui Brewing Co. (Brewpub),243
Brauerei Tucher Brau,241
Grupo Modelo S.A. de C.V.,239
"Pyramid Breweries, Inc.",237
Augustiner-Bräu Wagner KG,231
Olde Hickory Brewery,230
"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",230
Black Sheep Brewery PLC,228
Brauerei Heinrich Reissdorf,226
Hopworks Urban Brewery,225
Beamish & Crawford Plc.,225
McNeill's Brewery,224
Ale Asylum,223
White Birch Brewing,222
Williamsburg AleWerks,222
"Ølfabrikken",220
Brewery Budweiser Budvar / B.B.N.P.,220
