Beer id, Beer name, Beer abv, Beer style, Brewer id
2264,Brown Shugga',9.99,American Strong Ale,220
43346,SSS,9.99,Foreign / Export Stout,11031
53587,Heretic,9.99,American Double / Imperial IPA,27039
67995,Sur Munk,9.99,American Wild Ale,13307
